"Obama has called the GOP budget social Darwinism. Nice try, but they believe in social creationism.",0.0625,0.0,obama has called the gop budget social darwinism nice try but they believe in social creationism
"RT @mlake9: Love how the #Obama campaign's #WhatsRomneyHiding back fired, now #WhatsObamaHiding is trending. Seeing a lot of birth certificate tweets.",0.047619047619047616,0.0,rt mlake9 love how the obama campaigns whatsromneyhiding back fired now whatsobamahiding is trending seeing a lot of birth certificate tweets
@katie_larson It was Obama's hashtag--conservatives turned it into a game (again) :) It's funny ;),0.2,0.06666666666666667,katielarson it was obamas hashtagconservatives turned it into a game again  its funny 
RT @FrankConniff: Harvard graduate Romney slammed Obama for going to Harvard. Good to know that Mitt Romney hates people like Mitt Romney.,0.045454545454545456,0.0,rt frankconniff harvard graduate romney slammed obama for going to harvard good to know that mitt romney hates people like mitt romney
RT @wilycyotee Pres. Obama's ongoing support of women is another reason I am so proud he is my President!  @edshow #Obama2012,0.18181818181818182,0.0,rt wilycyotee pres obamas ongoing support of women is another reason i am so proud he is my president  edshow obama2012
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @mlake9: Love how the #Obama campaign's #WhatsRomneyHiding back fired, now #WhatsObamaHiding is trending. Seeing a lot of birth certificate tweets.",0.047619047619047616,0.0,rt mlake9 love how the obama campaigns whatsromneyhiding back fired now whatsobamahiding is trending seeing a lot of birth certificate tweets
RT @RandallHoven: Nixon was missing 18 minutes. Obama is missing 18 years.,0.0,0.0,rt randallhoven nixon was missing 18 minutes obama is missing 18 years
#WhatsRomneyHiding Obama's birth certificate.,0.0,0.0,whatsromneyhiding obamas birth certificate
@edshow the direspect of President #Obama is based on racism. They do not want a Black PRESIDENT. #edshow,0.0,0.1111111111111111,edshow the direspect of president obama is based on racism they do not want a black president edshow
"RT @Professor_Why: #WhatsRomneyHiding - his plan to push bad loans through for Green energy just to see 'em go bankrupt... Oops, that's Obama again!",0.08333333333333333,0.08333333333333333,rt professorwhy whatsromneyhiding  his plan to push bad loans through for green energy just to see em go bankrupt oops thats obama again
Thanks for the shout out in this recap of #JOBSAct signing! http://t.co/njCfZuSd via @MiamiHerald,0.0,0.0,thanks for the shout out in this recap of jobsact signing httptconjcfzusd via miamiherald
"RT @haymakers: When RWers whine ""What's Obama doing about gas prices!?"" Tell them, ""Nothing. That's how the free-market works. What are you? A socialist?""",0.0,0.0,rt haymakers when rwers whine whats obama doing about gas prices tell them nothing thats how the freemarket works what are you a socialist
"RT @0ryuge: #WhatsRomneyHiding The videotape of Barack Obama sucking up to radical Rashid Khalidi. Oh wait, that's the LATimes #VetThePress #VetThePres",0.0,0.047619047619047616,rt 0ryuge whatsromneyhiding the videotape of barack obama sucking up to radical rashid khalidi oh wait thats the latimes vetthepress vetthepres
"#edshow  My President is standing up,speaking up,fighting back and I am so glad he has taken the gloves off. OBAMA 2012 @edshow",0.08695652173913043,0.0,edshow  my president is standing upspeaking upfighting back and i am so glad he has taken the gloves off obama 2012 edshow
If Obama win 2012 Election wait til 2016 he will have full white hair! just like Bill clinton!,0.16666666666666666,0.0,if obama win 2012 election wait til 2016 he will have full white hair just like bill clinton
RT @Un_Progressive: .@ResistTyranny @freegalt Easy. Obama is hiding everything. Always has.,0.09090909090909091,0.0,rt unprogressive resisttyranny freegalt easy obama is hiding everything always has
RT @EMcLean1982: #WhatsRomneyHiding Obama's Mom Jeans,0.0,0.0,rt emclean1982 whatsromneyhiding obamas mom jeans
Even CBS won't buy bogus WH explanation of Obama Supreme Court comments - at http://t.co/rkNdEmIy #withnewt #tpn #tcot #tlot #tpp #sgp,0.14285714285714285,0.047619047619047616,even cbs wont buy bogus wh explanation of obama supreme court comments  at httptcorkndemiy withnewt tpn tcot tlot tpp sgp
RT @Libertarian_76: I can't wait until Romney goes after Obama on NDAA. Oh wait.,0.0,0.0,rt libertarian76 i cant wait until romney goes after obama on ndaa oh wait
#KimKardashiansNextBoyFriend Obama lol Michelle ain't goin 4 dat,0.0,0.0,kimkardashiansnextboyfriend obama lol michelle aint goin 4 dat
Obama And The Democrats Shocked By Constitutional Restraint http://t.co/RhSzoEU7 via @IBDinvestors,0.09090909090909091,0.0,obama and the democrats shocked by constitutional restraint httptcorhszoeu7 via ibdinvestors
"Obama, Romney agree: Admit women to Augusta golf club: US President Barack Obama believes women should be allowe... http://t.co/PVKrepqI",0.0,0.0,obama romney agree admit women to augusta golf club us president barack obama believes women should be allowe httptcopvkrepqi
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
#whatsObamahiding Kryptonite for the Grand Old Party! Obama 2012,0.1111111111111111,0.0,whatsobamahiding kryptonite for the grand old party obama 2012
RT @BunkerBlast: RT @teacherspets Obama's Budget: 'Interest Payments Will Exceed Defense Budget' in 2019  http://t.co/uddCXCjt,0.25,0.0,rt bunkerblast rt teacherspets obamas budget interest payments will exceed defense budget in 2019  httptcouddcxcjt
@edshow The Right has been crying about unelected judges legislation from  bench forever all of a sudden Obama says same thing he is a Thug,0.07692307692307693,0.0,edshow the right has been crying about unelected judges legislation from  bench forever all of a sudden obama says same thing he is a thug
RT @Kerryepp: #WhatsRomneyHiding that he can throw a baseball like a man and not like a girl like Obama...,0.0,0.0,rt kerryepp whatsromneyhiding that he can throw a baseball like a man and not like a girl like obama
RT @Justgod007: RT @NBCNews: President Obama signs law to prohibit insider trading by members of Congress: http://t.co/sCw6mZVz,0.0,0.0,rt justgod007 rt nbcnews president obama signs law to prohibit insider trading by members of congress httptcoscw6mzvz
@JoeSixpackSays Our Troops NEED TO COME HOME !!!! BRING OUR TROOPS HOME NOW OBAMA YOU BASTARD OOOORAH SEMPER FI,0.05263157894736842,0.10526315789473684,joesixpacksays our troops need to come home  bring our troops home now obama you bastard oooorah semper fi
"@BarackObama like what are you hiding, Obama?!? You are TOO MUCH!! @MittRomney",0.0,0.0,barackobama like what are you hiding obama you are too much mittromney
"@edshow If Obama is a ""thug"" and a ""bully"" then I'm not sure what to call Rush Limbaugh and Bill O.",0.047619047619047616,0.047619047619047616,edshow if obama is a thug and a bully then im not sure what to call rush limbaugh and bill o
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"Barack Obama The Pictures Generation, 1974-1984 (Metropolitan Museum of Art): This handsome book is the first co... http://t.co/TGgLdkOo",0.05555555555555555,0.0,barack obama the pictures generation 19741984 metropolitan museum of art this handsome book is the first co httptcotggldkoo
Barack Obama The Triumph of Caesar: A Novel of Ancient Rome [With Earbuds] (Playaway Adult Fiction): The Roman c... http://t.co/EbEYonbx,0.1,0.05,barack obama the triumph of caesar a novel of ancient rome with earbuds playaway adult fiction the roman c httptcoebeyonbx
Barack Obama President Ronald Reagan's Initial Actions Project: President Ronald Reagan was also facing an econo... http://t.co/8Go8oCpf,0.0,0.0,barack obama president ronald reagans initial actions project president ronald reagan was also facing an econo httptco8go8ocpf
RT @TXGaryM: Yes #WHFail RT @jltho: This #WhatsRomneyHiding hashtag is entertaining. Is this another social media backfire from the Obama administration?,0.047619047619047616,0.0,rt txgarym yes whfail rt jltho this whatsromneyhiding hashtag is entertaining is this another social media backfire from the obama administration
"Barack Obama LONGBOARD Package CORE 7"" TRUCKS 76mm BIGFOOT WHEELS: The newest addition to the Bigfoot Collection... http://t.co/cnHRuUBZ",0.0,0.0,barack obama longboard package core 7 trucks 76mm bigfoot wheels the newest addition to the bigfoot collection httptcocnhruubz
"Barack Obama Mir laechelt kein Fruhling, WoO 25 Sheet Music: Digital Sheet Music of Mir laechelt kein Fruhling, ... http://t.co/cuHdVHYv",0.05,0.0,barack obama mir laechelt kein fruhling woo 25 sheet music digital sheet music of mir laechelt kein fruhling  httptcocuhdvhyv
Obama has a billion dollar war chest for his reelection.  When were through with vetting him it might as well be Monopoly $ #Resist44,0.16,0.04,obama has a billion dollar war chest for his reelection  when were through with vetting him it might as well be monopoly  resist44
RT @Talkmaster: Oh now I get it. Obama was talking in shorthand and we were just too dumb to understand how smart he really is.  Gagme.,0.1111111111111111,0.037037037037037035,rt talkmaster oh now i get it obama was talking in shorthand and we were just too dumb to understand how smart he really is  gagme
#KimKardashiansNextBoyFriend Obama,0.0,0.0,kimkardashiansnextboyfriend obama
These Trending Topics on #Obama and #Romney signal the start of the presidential campaign. Officially paying attention.,0.0,0.0,these trending topics on obama and romney signal the start of the presidential campaign officially paying attention
RT @HeidiForLiberty: RT @Libertarian_76: I can't wait until Romney goes after Obama on NDAA. Oh wait,0.0,0.0,rt heidiforliberty rt libertarian76 i cant wait until romney goes after obama on ndaa oh wait
"RT @1Directionality: ""Harry styles described Michelle Obama as a very attractive older woman"" OBAMA HIDE YOUR WIFE, STYLES IS COMING!""",0.05,0.0,rt 1directionality harry styles described michelle obama as a very attractive older woman obama hide your wife styles is coming
Attorney Mario Apuzzo Files Ballot Access Challenge Against Obama Today in New Jersey http://t.co/06rD6lCL,0.0,0.14285714285714285,attorney mario apuzzo files ballot access challenge against obama today in new jersey httptco06rd6lcl
RT @LiberalMel: REPUBLICANS WANT TO TAKE AWAY FREE HEALTHCARE AND SEND PUT PEOPLE IN JAIL FOR FIGHTING. REPUBLICANS ARE AHOLES!!! #DEM #OBAMA #OBAMA2012,0.043478260869565216,0.0,rt liberalmel republicans want to take away free healthcare and send put people in jail for fighting republicans are aholes dem obama obama2012
"RT @Tortured_Verse: Romney has TWO Harvard degrees and he says Obama spent ""too much time at Harvard?""  http://t.co/J4bep9Q0 #p2 #tcot #wiunion #ocra #TWISTERS",0.041666666666666664,0.0,rt torturedverse romney has two harvard degrees and he says obama spent too much time at harvard  httptcoj4bep9q0 p2 tcot wiunion ocra twisters
RT @jennykassan: President Obama: for the first time ordinary Americans will be able to invest in companies they believe in #crowdfunding,0.09523809523809523,0.0,rt jennykassan president obama for the first time ordinary americans will be able to invest in companies they believe in crowdfunding
@kellieo79 save it for michelle Obama.,0.0,0.0,kellieo79 save it for michelle obama
RT @TrentOn_YouOff: Why Barack Obama trying to start stuff with our future President? Have some respect for Mitt Romney.,0.05263157894736842,0.05263157894736842,rt trentonyouoff why barack obama trying to start stuff with our future president have some respect for mitt romney
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
#edshow Obama is passionate about healthcare - that doesn't make him a bully.,0.15384615384615385,0.07692307692307693,edshow obama is passionate about healthcare  that doesnt make him a bully
"Obama is a great president. He's honest, loyal, friends, smart, and wants the BEST for EVERYONE in this country, not just the rich.",0.30434782608695654,0.0,obama is a great president hes honest loyal friends smart and wants the best for everyone in this country not just the rich
"FSU Cultural Post: Re: Newt or Mitt VS Obama. Can either of 'em beat him?: What parts do you find distu... http://t.co/ie4ClOp9 , at RWD",0.04,0.0,fsu cultural post re newt or mitt vs obama can either of em beat him what parts do you find distu httptcoie4clop9  at rwd
#newbedon 4/6/2012 4:27:33 AM Obama Wins Landslide Presidential Election...With Online Gamers http://t.co/L5xqNFfD,0.0,0.0,newbedon 462012 42733 am obama wins landslide presidential electionwith online gamers httptcol5xqnffd
"American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @WhatTheFFacts: In his teen years, Obama has been known to use marijuana and cocaine.",0.0,0.0,rt whattheffacts in his teen years obama has been known to use marijuana and cocaine
The only incompetent candidate for 2012 is Obama .  Vote NoObama in 2012,0.14285714285714285,0.07142857142857142,the only incompetent candidate for 2012 is obama   vote noobama in 2012
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"@billmaher Mr Maher I just seen the HBO documentary hot coffee.I feel so upset, we need four more years of President Obama 1000% certtain!",0.08333333333333333,0.08333333333333333,billmaher mr maher i just seen the hbo documentary hot coffeei feel so upset we need four more years of president obama 1000 certtain
RT @RealNichelle: I love that even most that don't agree with Pres Obama's politics could appreciate that he's a Trekker. That's what IDIC is all about.,0.07692307692307693,0.0,rt realnichelle i love that even most that dont agree with pres obamas politics could appreciate that hes a trekker thats what idic is all about
"RT @djtechchicago: Apparently, he's hiding Barack Obama's copy of the Constitution. #WhatsRomneyHiding",0.0,0.0,rt djtechchicago apparently hes hiding barack obamas copy of the constitution whatsromneyhiding
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
Media Matters & Obama WH In Secret Meetings 2 Create Enemies List http://t.co/UlXo9kp3 #GOP #TCOT #TPP #Patriots #Teaparty #twisters #p2 #RS,0.047619047619047616,0.047619047619047616,media matters  obama wh in secret meetings 2 create enemies list httptcoulxo9kp3 gop tcot tpp patriots teaparty twisters p2 rs
"Is #Syria Obama's trump card, or will civil nukes offer result in more futile sanctions on #Iran? http://t.co/7W5qni2S",0.1111111111111111,0.05555555555555555,is syria obamas trump card or will civil nukes offer result in more futile sanctions on iran httptco7w5qni2s
RT @markknoller: Obama Campaign says Romney should make public 23 years of tax returns so Americans can assess any conflicts of interest.,0.045454545454545456,0.0,rt markknoller obama campaign says romney should make public 23 years of tax returns so americans can assess any conflicts of interest
"Obama says 2012 will be a ""fun debate"": President Barack Obama says the 2012 election will be a ""fun debate"" ove... http://t.co/OGi7SdUq",0.18181818181818182,0.0,obama says 2012 will be a fun debate president barack obama says the 2012 election will be a fun debate ove httptcoogi7sduq
"RT @ChicoDelainky: Mitt Romney attacked President Obama for going to Harvard, yet, Romney spent 4 years at Harvard. What's wrong with this man?!",0.0,0.043478260869565216,rt chicodelainky mitt romney attacked president obama for going to harvard yet romney spent 4 years at harvard whats wrong with this man
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
RT @Fake_Dispatch: I think we are all in agreement that Rick Santorum could beat Obama... at bowling.,0.058823529411764705,0.0,rt fakedispatch i think we are all in agreement that rick santorum could beat obama at bowling
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"Obama has called the GOP budget social Darwinism. Nice try, but they believe in social creationism.",0.0625,0.0,obama has called the gop budget social darwinism nice try but they believe in social creationism
"In his teen years, Obama has been known to use marijuana and cocaine.",0.0,0.0,in his teen years obama has been known to use marijuana and cocaine
"RT @edshow: Righties call Pres. Obama a ""thug"" and ""bully"" for comments on health care law hearings. Comment on FB or tweet so we can share on #edshow!",0.0,0.03571428571428571,rt edshow righties call pres obama a thug and bully for comments on health care law hearings comment on fb or tweet so we can share on edshow
"RT @markknoller: AT a campaign fundraiser tonight, Pres. Obama again denounced Mitt Romney by name for his support of the House-passed GOP Budget.",0.043478260869565216,0.0,rt markknoller at a campaign fundraiser tonight pres obama again denounced mitt romney by name for his support of the housepassed gop budget
"RT @RobertoManzana: Obama Is Like The Worst President Ever ,",0.1,0.1,rt robertomanzana obama is like the worst president ever 
RT @JennyErikson: Obama's college transcripts. #WhatsRomneyHiding,0.0,0.0,rt jennyerikson obamas college transcripts whatsromneyhiding
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
vote for President Barack Obama and let's keep moving forward.@BarackObama,0.1,0.0,vote for president barack obama and lets keep moving forwardbarackobama
Obama has approved more targeted assassinations than any modern US prez; READ & RT: http://t.co/bfC4gbBW,0.13333333333333333,0.0,obama has approved more targeted assassinations than any modern us prez read  rt httptcobfc4gbbw
RT @GottaLaff: RT @markknoller: Pres Obama says it'll be a big debate and a fun debate because - he says - he has the truth on his side.,0.10714285714285714,0.0,rt gottalaff rt markknoller pres obama says itll be a big debate and a fun debate because  he says  he has the truth on his side
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @DrewMcKissick: Dapper Dan, and a comb.  And a thick oppo research file on Obama. #WhatsRomneyHiding",0.058823529411764705,0.0,rt drewmckissick dapper dan and a comb  and a thick oppo research file on obama whatsromneyhiding
"@sgaut the Architects of the housing debacle were Schumer, Fwank, Dodd and Obama who forced banks to loan trillions to the poor. #edshow",0.0,0.08695652173913043,sgaut the architects of the housing debacle were schumer fwank dodd and obama who forced banks to loan trillions to the poor edshow
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
HE DIDN'T MEAN WHAT HE SAID! Obama's Constitutional law professor spins for him b/c he's a mind reader http://t.co/GTmqufBo #tcot #tlot,0.0,0.047619047619047616,he didnt mean what he said obamas constitutional law professor spins for him bc hes a mind reader httptcogtmqufbo tcot tlot
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
@gretawire @WhineNot This is the most transparent Obama has been since he was caught on an open mike with the Russian president.,0.045454545454545456,0.0,gretawire whinenot this is the most transparent obama has been since he was caught on an open mike with the russian president
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
RT @JeffersonObama: Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. http://t.co/Ov6I5CoS,0.05555555555555555,0.0,rt jeffersonobama arianna huffington blasting president obama at any chance and praising gop this pic explains things httptcoov6i5cos
Obama signs bill to boost business startups http://t.co/zq6zC4ZO,0.125,0.0,obama signs bill to boost business startups httptcozq6zc4zo
"RT @wcptersn: If Obama were white, he'd be Mitt Romney.",0.1,0.0,rt wcptersn if obama were white hed be mitt romney
"RT @HarryFacts1D: ''Harry Styles describe a Michelle Obama como una mujer muy atractiva.'' OBAMA ESCONDE A TU ESPOSA Y A TUS HIJOS, STYLES VIENE EN CAMINO.",0.0,0.0,rt harryfacts1d harry styles describe a michelle obama como una mujer muy atractiva obama esconde a tu esposa y a tus hijos styles viene en camino
"@Fake_Dispatch no way, obama would school his ass! santorum has weak arms! lmao",0.0,0.07692307692307693,fakedispatch no way obama would school his ass santorum has weak arms lmao
Impossible! RT @Fake_Dispatch: I think we are all in agreement that Rick Santorum could beat Obama... at bowling.,0.05555555555555555,0.05555555555555555,impossible rt fakedispatch i think we are all in agreement that rick santorum could beat obama at bowling
'Back Off' : McConnell Warns Obama Crossed 'Dangerous line'--Times  247 http://t.co/dFTjxuKB,0.16666666666666666,0.08333333333333333,back off  mcconnell warns obama crossed dangerous linetimes  247 httptcodftjxukb
I can't wait until Romney goes after Obama on NDAA. Oh wait.,0.0,0.0,i cant wait until romney goes after obama on ndaa oh wait
"RT @GottaLaff: RT @markknoller: Pres Obama sayd ""I cannot wait"" for the ""big important debate"" we are going to have on these issues.",0.043478260869565216,0.0,rt gottalaff rt markknoller pres obama sayd i cannot wait for the big important debate we are going to have on these issues
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
@AC360  President Obama is a Constitutional Law scholar - give him credit and the respect that he deserves.  @JaySekulow is annoying.,0.17391304347826086,0.043478260869565216,ac360  president obama is a constitutional law scholar  give him credit and the respect that he deserves  jaysekulow is annoying
"RT @MusicandFaith: Judicial Watch: $500,000 of Your Money to Send Michelle to Africa http://t.co/DmMaGbBz via @Po_st",0.0,0.0,rt musicandfaith judicial watch 500000 of your money to send michelle to africa httptcodmmagbbz via post
RT @PeteXU: Obama wants Romney to release his tax return that will show an effective tax rate of under 15% and how little US citizens understand taxes.,0.07407407407407407,0.037037037037037035,rt petexu obama wants romney to release his tax return that will show an effective tax rate of under 15 and how little us citizens understand taxes
"RT @JeffersonObama: 62% of U.S. Jews would reelect Obama, 4% say Israel is most important issue - Haaretz http://t.co/VhURDtdO http://t.co/gIGmn5kE",0.1,0.0,rt jeffersonobama 62 of us jews would reelect obama 4 say israel is most important issue  haaretz httptcovhurdtdo httptcogigmn5ke
"RT @debv219: #edshow Whenever Obama tells the truth about the Gop, they boo hoo hoo and call him a bully.",0.0,0.05,rt debv219 edshow whenever obama tells the truth about the gop they boo hoo hoo and call him a bully
#Obama is trying to strong arm Sheriff Joe to force him to drop investigation into Obama's fake birth certificate. #GOP #tcot #teaparty,0.045454545454545456,0.09090909090909091,obama is trying to strong arm sheriff joe to force him to drop investigation into obamas fake birth certificate gop tcot teaparty
RT @Fake_Dispatch: I think we are all in agreement that Rick Santorum could beat Obama... at bowling.,0.058823529411764705,0.0,rt fakedispatch i think we are all in agreement that rick santorum could beat obama at bowling
@WhiteHouse @BarackObama Shell sued over massive oil spills in Nigeria. President Obama: #SaveTheArctic from Shell! http://t.co/WI0ajzJX,0.0,0.0,whitehouse barackobama shell sued over massive oil spills in nigeria president obama savethearctic from shell httptcowi0ajzjx
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"A ""legislator"" who'd never passed legislation. A ""law professor"" who'd never published a law review article ... Is Obama fictional? #hhrs",0.047619047619047616,0.047619047619047616,a legislator whod never passed legislation a law professor whod never published a law review article  is obama fictional hhrs
